sepal_length,sepal_width,petal_length,petal_width,species,cluster_id,mapped_species,is_correct,pca_component_1,pca_component_2
5.1,3.3,1.7,0.5,Iris-setosa,1,Iris-setosa,1,-1.8204,0.1068
4.8,3.4,1.9,0.2,Iris-setosa,1,Iris-setosa,1,-2.2282,0.1622
5.0,3.0,1.6,0.2,Iris-setosa,1,Iris-setosa,1,-1.957,-0.6079
5.0,3.4,1.6,0.4,Iris-setosa,1,Iris-setosa,1,-2.0521,0.266
5.2,3.5,1.5,0.2,Iris-setosa,1,Iris-setosa,1,-2.1682,0.552
5.2,3.4,1.4,0.2,Iris-setosa,1,Iris-setosa,1,-2.1403,0.3366
4.7,3.2,1.6,0.2,Iris-setosa,1,Iris-setosa,1,-2.2688,-0.3149
4.8,3.1,1.6,0.2,Iris-setosa,1,Iris-setosa,1,-2.1446,-0.4839
5.4,3.4,1.5,0.4,Iris-setosa,1,Iris-setosa,1,-1.8319,0.4453
5.2,4.1,1.5,0.1,Iris-setosa,1,Iris-setosa,1,-2.6082,1.8285
5.5,4.2,1.4,0.2,Iris-setosa,1,Iris-setosa,1,-2.438,2.1854
4.9,3.1,1.5,0.1,Iris-setosa,1,Iris-setosa,1,-2.1887,-0.4486
5.0,3.2,1.2,0.2,Iris-setosa,1,Iris-setosa,1,-2.2111,-0.1843
5.5,3.5,1.3,0.2,Iris-setosa,1,Iris-setosa,1,-2.0444,0.685
4.9,3.1,1.5,0.1,Iris-setosa,1,Iris-setosa,1,-2.1887,-0.4486
4.4,3.0,1.3,0.2,Iris-setosa,1,Iris-setosa,1,-2.436,-0.8822
5.1,3.4,1.5,0.2,Iris-setosa,1,Iris-setosa,1,-2.1705,0.2927
5.0,3.5,1.3,0.3,Iris-setosa,1,Iris-setosa,1,-2.2865,0.468
4.5,2.3,1.3,0.3,Iris-setosa,1,Iris-setosa,1,-1.8717,-2.3277
4.4,3.2,1.3,0.2,Iris-setosa,1,Iris-setosa,1,-2.5578,-0.4538
5.0,3.5,1.6,0.6,Iris-setosa,1,Iris-setosa,1,-1.9643,0.4974
5.1,3.8,1.9,0.4,Iris-setosa,1,Iris-setosa,1,-2.1334,1.1714
4.8,3.0,1.4,0.3,Iris-setosa,1,Iris-setosa,1,-2.0754,-0.6919
5.1,3.8,1.6,0.2,Iris-setosa,1,Iris-setosa,1,-2.3813,1.1506
4.6,3.2,1.4,0.2,Iris-setosa,1,Iris-setosa,1,-2.3982,-0.3624
5.3,3.7,1.5,0.2,Iris-setosa,1,Iris-setosa,1,-2.2268,1.0255
5.0,3.3,1.4,0.2,Iris-setosa,1,Iris-setosa,1,-2.206,0.0322
7.0,3.2,4.7,1.4,Iris-versicolor,2,Iris-virginica,0,1.104,0.8631
6.4,3.2,4.5,1.5,Iris-versicolor,2,Iris-virginica,0,0.7325,0.5986
6.9,3.1,4.9,1.5,Iris-versicolor,2,Iris-virginica,0,1.2421,0.6148
5.5,2.3,4.0,1.3,Iris-versicolor,0,Iris-versicolor,1,0.3973,-1.7582
6.5,2.8,4.6,1.5,Iris-versicolor,0,Iris-versicolor,1,1.0726,-0.2118
5.7,2.8,4.5,1.3,Iris-versicolor,0,Iris-versicolor,1,0.3845,-0.5911
6.3,3.3,4.7,1.6,Iris-versicolor,2,Iris-virginica,0,0.7487,0.7787
4.9,2.4,3.3,1.0,Iris-versicolor,0,Iris-versicolor,1,-0.4979,-1.8489
6.6,2.9,4.6,1.3,Iris-versicolor,0,Iris-versicolor,1,0.9262,0.0303
5.2,2.7,3.9,1.4,Iris-versicolor,0,Iris-versicolor,1,0.005,-1.0294
5.0,2.0,3.5,1.0,Iris-versicolor,0,Iris-versicolor,1,-0.1247,-2.6581
5.9,3.0,4.2,1.5,Iris-versicolor,0,Iris-versicolor,1,0.4387,-0.0589
6.0,2.2,4.0,1.0,Iris-versicolor,0,Iris-versicolor,1,0.5516,-1.7726
6.1,2.9,4.7,1.4,Iris-versicolor,0,Iris-versicolor,1,0.7172,-0.1854
5.6,2.9,3.6,1.3,Iris-versicolor,0,Iris-versicolor,1,-0.0373,-0.4328
6.7,3.1,4.4,1.4,Iris-versicolor,2,Iris-virginica,0,0.8759,0.51
5.6,3.0,4.5,1.5,Iris-versicolor,0,Iris-versicolor,1,0.348,-0.1906
5.8,2.7,4.1,1.0,Iris-versicolor,0,Iris-versicolor,1,0.1534,-0.7907
6.2,2.2,4.5,1.5,Iris-versicolor,0,Iris-versicolor,1,1.2153,-1.6334
5.6,2.5,3.9,1.1,Iris-versicolor,0,Iris-versicolor,1,0.1569,-1.3031
5.9,3.2,4.8,1.8,Iris-versicolor,2,Iris-virginica,0,0.7383,0.4025
6.1,2.8,4.0,1.3,Iris-versicolor,0,Iris-versicolor,1,0.4724,-0.4166
6.3,2.5,4.9,1.5,Iris-versicolor,0,Iris-versicolor,1,1.228,-0.9409
6.1,2.8,4.7,1.2,Iris-versicolor,0,Iris-versicolor,1,0.6294,-0.4168
6.4,2.9,4.3,1.3,Iris-versicolor,0,Iris-versicolor,1,0.7005,-0.0635
6.6,3.0,4.4,1.4,Iris-versicolor,2,Iris-virginica,0,0.8735,0.2507
6.8,2.8,4.8,1.4,Iris-versicolor,2,Iris-virginica,0,1.2542,-0.0826
6.7,3.0,5.0,1.7,Iris-versicolor,2,Iris-virginica,0,1.3582,0.3288
6.0,2.9,4.5,1.5,Iris-versicolor,0,Iris-versicolor,1,0.6621,-0.2243
5.7,2.6,3.5,1.0,Iris-versicolor,0,Iris-versicolor,1,-0.0473,-1.0572
5.5,2.4,3.8,1.1,Iris-versicolor,0,Iris-versicolor,1,0.1215,-1.5636
5.5,2.4,3.7,1.0,Iris-versicolor,0,Iris-versicolor,1,0.0141,-1.5734
5.8,2.7,3.9,1.2,Iris-versicolor,0,Iris-versicolor,1,0.236,-0.7759
6.0,2.7,5.1,1.6,Iris-versicolor,0,Iris-versicolor,1,1.0567,-0.6369
5.4,3.0,4.5,1.5,Iris-versicolor,0,Iris-versicolor,1,0.2214,-0.2808
6.0,3.4,4.5,1.6,Iris-versicolor,2,Iris-virginica,0,0.4318,0.8551
6.7,3.1,4.7,1.5,Iris-versicolor,2,Iris-virginica,0,1.0494,0.5222
6.3,2.3,4.4,1.3,Iris-versicolor,0,Iris-versicolor,1,1.0359,-1.3925
5.6,3.0,4.1,1.3,Iris-versicolor,0,Iris-versicolor,1,0.0671,-0.2126
5.5,2.5,4.0,1.3,Iris-versicolor,0,Iris-versicolor,1,0.2754,-1.3298
5.5,2.6,4.4,1.2,Iris-versicolor,0,Iris-versicolor,1,0.2723,-1.1194
6.1,3.0,4.6,1.4,Iris-versicolor,0,Iris-versicolor,1,0.6232,0.0275
5.8,2.6,4.0,1.2,Iris-versicolor,0,Iris-versicolor,1,0.33,-0.9889
5.0,2.3,3.3,1.0,Iris-versicolor,0,Iris-versicolor,1,-0.3736,-2.0179
5.6,2.7,4.2,1.3,Iris-versicolor,0,Iris-versicolor,1,0.2829,-0.854
5.7,3.0,4.2,1.2,Iris-versicolor,0,Iris-versicolor,1,0.0891,-0.1749
5.7,2.9,4.2,1.3,Iris-versicolor,0,Iris-versicolor,1,0.2244,-0.3805
6.2,2.9,4.3,1.3,Iris-versicolor,0,Iris-versicolor,1,0.5739,-0.1537
5.1,2.5,3.0,1.1,Iris-versicolor,0,Iris-versicolor,1,-0.457,-1.5395
5.7,2.8,4.1,1.3,Iris-versicolor,0,Iris-versicolor,1,0.2522,-0.5959
6.3,3.3,6.0,2.5,Iris-virginica,2,Iris-virginica,1,1.8477,0.8717
5.8,2.7,5.1,1.9,Iris-virginica,0,Iris-versicolor,0,1.1532,-0.7013
7.1,3.0,5.9,2.1,Iris-virginica,2,Iris-virginica,1,2.2063,0.5545
6.3,2.9,5.6,1.8,Iris-virginica,2,Iris-virginica,1,1.4387,-0.05
6.5,3.0,5.8,2.2,Iris-virginica,2,Iris-virginica,1,1.8679,0.2912
7.6,3.0,6.6,2.1,Iris-virginica,2,Iris-virginica,1,2.7542,0.7884
4.9,2.5,4.5,1.7,Iris-virginica,0,Iris-versicolor,0,0.3584,-1.5601
7.3,2.9,6.3,1.8,Iris-virginica,2,Iris-virginica,1,2.303,0.4095
6.7,2.5,5.8,1.8,Iris-virginica,2,Iris-virginica,1,2.0017,-0.7239
7.2,3.6,6.1,2.5,Iris-virginica,2,Iris-virginica,1,2.2676,1.9214
6.5,3.2,5.1,2.0,Iris-virginica,2,Iris-virginica,1,1.3659,0.6939
6.4,2.7,5.3,1.9,Iris-virginica,2,Iris-virginica,1,1.5991,-0.4282
6.8,3.0,5.5,2.1,Iris-virginica,2,Iris-virginica,1,1.8843,0.4143
5.7,2.5,5.0,2.0,Iris-virginica,0,Iris-versicolor,0,1.2531,-1.1674
5.8,2.8,5.1,2.4,Iris-virginica,0,Iris-versicolor,0,1.4641,-0.4441
6.4,3.2,5.3,2.3,Iris-virginica,2,Iris-virginica,1,1.5918,0.677
6.5,3.0,5.5,1.8,Iris-virginica,2,Iris-virginica,1,1.4713,0.2532
7.7,3.8,6.7,2.2,Iris-virginica,2,Iris-virginica,1,2.4374,2.5568
7.7,2.6,6.9,2.3,Iris-virginica,2,Iris-virginica,1,3.3091,-0.0024
6.0,2.2,5.0,1.5,Iris-virginica,0,Iris-versicolor,0,1.254,-1.7176
6.9,3.2,5.7,2.3,Iris-virginica,2,Iris-virginica,1,2.0405,0.9074
5.6,2.8,4.9,2.0,Iris-virginica,0,Iris-versicolor,0,0.9739,-0.5712
7.7,2.8,6.7,2.0,Iris-virginica,2,Iris-virginica,1,2.8981,0.3978
6.3,2.7,4.9,1.8,Iris-virginica,0,Iris-versicolor,0,1.3292,-0.4868
6.7,3.3,5.7,2.1,Iris-virginica,2,Iris-virginica,1,1.7042,1.0141
7.2,3.2,6.0,1.8,Iris-virginica,2,Iris-virginica,1,1.9577,1.0033
6.2,2.8,4.8,1.8,Iris-virginica,0,Iris-versicolor,0,1.1719,-0.3189
6.1,3.0,4.9,1.8,Iris-virginica,2,Iris-virginica,1,1.0198,0.0655
6.4,2.8,5.6,2.1,Iris-virginica,2,Iris-virginica,1,1.786,-0.1933
7.2,3.0,5.8,1.6,Iris-virginica,2,Iris-virginica,1,1.8648,0.5554
7.4,2.8,6.1,1.9,Iris-virginica,2,Iris-virginica,1,2.4355,0.2467
7.9,3.8,6.4,2.0,Iris-virginica,2,Iris-virginica,1,2.3161,2.6262
6.4,2.8,5.6,2.2,Iris-virginica,2,Iris-virginica,1,1.8604,-0.1847
6.3,2.8,5.1,1.5,Iris-virginica,0,Iris-versicolor,0,1.1113,-0.296
6.1,2.6,5.6,1.4,Iris-virginica,0,Iris-versicolor,0,1.1975,-0.8172
7.7,3.0,6.1,2.3,Iris-virginica,2,Iris-virginica,1,2.8009,0.8447
6.3,3.4,5.6,2.4,Iris-virginica,2,Iris-virginica,1,1.5802,1.0725
6.4,3.1,5.5,1.8,Iris-virginica,2,Iris-virginica,1,1.347,0.4223
6.0,3.0,4.8,1.8,Iris-virginica,0,Iris-versicolor,0,0.9234,0.0192
6.9,3.1,5.4,2.1,Iris-virginica,2,Iris-virginica,1,1.8536,0.6724
6.7,3.1,5.6,2.4,Iris-virginica,2,Iris-virginica,1,2.0162,0.6104
6.9,3.1,5.1,2.3,Iris-virginica,2,Iris-virginica,1,1.9031,0.686
5.8,2.7,5.1,1.9,Iris-virginica,0,Iris-versicolor,0,1.1532,-0.7013
6.8,3.2,5.9,2.3,Iris-virginica,2,Iris-virginica,1,2.0433,0.8647
6.7,3.3,5.7,2.5,Iris-virginica,2,Iris-virginica,1,2.0017,1.0486
6.7,3.0,5.2,2.3,Iris-virginica,2,Iris-virginica,1,1.8705,0.3828
6.3,2.5,5.0,1.9,Iris-virginica,0,Iris-versicolor,0,1.5585,-0.9053
6.5,3.0,5.2,2.0,Iris-virginica,2,Iris-virginica,1,1.5208,0.2668
6.2,3.4,5.4,2.3,Iris-virginica,2,Iris-virginica,1,1.3764,1.0164
5.9,3.0,5.1,1.8,Iris-virginica,0,Iris-versicolor,0,0.9593,-0.0223
